user_id,trade_id,trade_date,ticker,outcome_win,outcome_loss,outcome_breakeven,large_win,large_loss,revenge_immediate,size_inconsistency,follow_through_win_immediate,disciplined_after_loss_immediate,consistent_size,overtrading_day,revenge_day,chop_day,ticker_bias_lifetime,ticker_bias_recent,focused_day,green_day_low_activity
demo_user,1,2025-08-15,MSFT,0.0,0.0,0.8,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
demo_user,2,2025-08-19,NVDA,0.0,0.9,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.65,0.0
demo_user,3,2025-08-20,AAPL,0.0,0.9,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.7,0.8,0.8
demo_user,4,2025-08-20,NVDA,0.9,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.8,0.6,0.0,0.75,0.0,0.0,0.7,0.8,0.8
demo_user,5,2025-08-21,MSFT,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
demo_user,6,2025-08-21,TSLA,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.7,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.8
demo_user,7,2025-08-22,TSLA,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.0
demo_user,8,2025-08-26,TSLA,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.0
demo_user,9,2025-08-27,MSFT,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
demo_user,10,2025-08-28,MSFT,0.9,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
demo_user,11,2025-08-28,NVDA,0.9,0.0,0.0,0.0,0.0,0.0,0.75,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
demo_user,12,2025-09-02,MSFT,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.8
demo_user,13,2025-09-03,AAPL,0.0,0.9,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.65,0.0
demo_user,14,2025-09-05,AMD,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
demo_user,15,2025-09-08,MSFT,0.9,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
demo_user,16,2025-09-08,TSLA,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
demo_user,17,2025-09-12,MSFT,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
demo_user,18,2025-09-12,TSLA,0.9,0.0,0.0,0.75,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
demo_user,19,2025-09-16,AAPL,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.7,0.8,0.8
demo_user,20,2025-09-16,TSLA,0.9,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.8,0.6,0.0,0.75,0.0,0.0,0.7,0.8,0.8
demo_user,21,2025-09-16,TSLA,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.6,0.0,0.75,0.0,0.0,0.7,0.8,0.8
demo_user,22,2025-09-17,NVDA,0.9,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.8
demo_user,23,2025-09-17,NVDA,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.8
demo_user,24,2025-09-17,NVDA,0.9,0.0,0.0,0.0,0.0,0.0,0.75,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
demo_user,25,2025-09-18,MSFT,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
demo_user,26,2025-09-19,TSLA,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.0
demo_user,27,2025-09-24,AMD,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
