user_id,trade_date,overtrading_day,revenge_day,chop_day,ticker_bias_lifetime,ticker_bias_recent,focused_day,green_day_low_activity
36e6fe5b-d920-4cba-9f20-6538ba499327,2025-08-15,0.0,0.0,0.0,0.0,0.0,0.6,0.0
36e6fe5b-d920-4cba-9f20-6538ba499327,2025-08-19,0.0,0.0,0.0,0.0,0.0,0.6,0.0
36e6fe5b-d920-4cba-9f20-6538ba499327,2025-08-20,0.0,0.75,0.0,0.0,0.7,0.0,1.0
36e6fe5b-d920-4cba-9f20-6538ba499327,2025-08-21,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36e6fe5b-d920-4cba-9f20-6538ba499327,2025-08-22,0.0,0.0,0.0,0.0,0.0,0.6,0.0
36e6fe5b-d920-4cba-9f20-6538ba499327,2025-08-26,0.0,0.0,0.0,0.0,0.0,0.6,0.0
36e6fe5b-d920-4cba-9f20-6538ba499327,2025-08-27,0.0,0.0,0.0,0.0,0.0,1.0,1.0
36e6fe5b-d920-4cba-9f20-6538ba499327,2025-08-28,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36e6fe5b-d920-4cba-9f20-6538ba499327,2025-09-02,0.0,0.0,0.0,0.0,0.0,1.0,0.8
36e6fe5b-d920-4cba-9f20-6538ba499327,2025-09-03,0.0,0.0,0.0,0.0,0.7,0.6,0.0
36e6fe5b-d920-4cba-9f20-6538ba499327,2025-09-05,0.0,0.0,0.0,0.0,0.0,0.6,0.0
36e6fe5b-d920-4cba-9f20-6538ba499327,2025-09-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36e6fe5b-d920-4cba-9f20-6538ba499327,2025-09-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36e6fe5b-d920-4cba-9f20-6538ba499327,2025-09-16,0.0,0.75,0.0,0.0,0.7,0.0,0.0
36e6fe5b-d920-4cba-9f20-6538ba499327,2025-09-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36e6fe5b-d920-4cba-9f20-6538ba499327,2025-09-18,0.0,0.0,0.0,0.0,0.0,1.0,1.0
36e6fe5b-d920-4cba-9f20-6538ba499327,2025-09-19,0.0,0.0,0.0,0.0,0.0,0.6,0.0
36e6fe5b-d920-4cba-9f20-6538ba499327,2025-09-24,0.0,0.0,0.0,0.0,0.0,1.0,0.6
