user_id,trade_id,trade_date,tag,confidence,rationale,scope,source
None,5.0,2024-10-17,outcome_win,0.9,Win: PnL $18.72,trade,rule
None,6.0,2024-10-17,outcome_win,0.9,Win: PnL $32.80,trade,rule
None,11.0,2024-10-21,outcome_win,0.9,Win: PnL $68.64,trade,rule
None,14.0,2024-10-22,outcome_win,0.9,Win: PnL $87.60,trade,rule
None,15.0,2024-10-22,outcome_win,0.9,Win: PnL $18.12,trade,rule
None,16.0,2024-10-22,outcome_win,0.9,Win: PnL $13.70,trade,rule
None,18.0,2024-10-22,outcome_win,0.9,Win: PnL $263.91,trade,rule
None,19.0,2024-10-22,outcome_win,0.9,Win: PnL $69.48,trade,rule
None,21.0,2024-10-23,outcome_win,0.9,Win: PnL $404.11,trade,rule
None,22.0,2024-10-23,outcome_win,0.9,Win: PnL $6.61,trade,rule
None,23.0,2024-10-23,outcome_win,0.9,Win: PnL $13.84,trade,rule
None,27.0,2024-10-29,outcome_win,0.9,Win: PnL $261.00,trade,rule
None,28.0,2024-10-29,outcome_win,0.9,Win: PnL $22.88,trade,rule
None,29.0,2024-10-30,outcome_win,0.9,Win: PnL $163.54,trade,rule
None,31.0,2024-10-31,outcome_win,0.9,Win: PnL $100.52,trade,rule
None,32.0,2024-11-01,outcome_win,0.9,Win: PnL $65.65,trade,rule
None,33.0,2024-11-01,outcome_win,0.9,Win: PnL $233.76,trade,rule
None,34.0,2024-11-01,outcome_win,0.9,Win: PnL $1121.28,trade,rule
None,35.0,2024-11-01,outcome_win,0.9,Win: PnL $32.46,trade,rule
None,36.0,2024-11-01,outcome_win,0.9,Win: PnL $81.64,trade,rule
None,38.0,2024-11-01,outcome_win,0.9,Win: PnL $88.02,trade,rule
None,39.0,2024-11-11,outcome_win,0.9,Win: PnL $370.08,trade,rule
None,40.0,2024-11-11,outcome_win,0.9,Win: PnL $182.49,trade,rule
None,41.0,2024-11-15,outcome_win,0.9,Win: PnL $554.04,trade,rule
None,42.0,2024-11-15,outcome_win,0.9,Win: PnL $50.40,trade,rule
None,43.0,2024-11-18,outcome_win,0.9,Win: PnL $429.42,trade,rule
None,46.0,2024-11-18,outcome_win,0.9,Win: PnL $274.80,trade,rule
None,47.0,2024-11-25,outcome_win,0.9,Win: PnL $289.08,trade,rule
None,48.0,2024-11-25,outcome_win,0.9,Win: PnL $2852.46,trade,rule
None,49.0,2024-11-27,outcome_win,0.9,Win: PnL $116.16,trade,rule
None,51.0,2024-12-05,outcome_win,0.9,Win: PnL $20.20,trade,rule
None,52.0,2024-12-06,outcome_win,0.9,Win: PnL $52.64,trade,rule
None,54.0,2024-12-06,outcome_win,0.9,Win: PnL $11.34,trade,rule
None,55.0,2024-12-06,outcome_win,0.9,Win: PnL $754.00,trade,rule
None,56.0,2024-12-06,outcome_win,0.9,Win: PnL $195.12,trade,rule
None,60.0,2024-12-17,outcome_win,0.9,Win: PnL $44.96,trade,rule
None,63.0,2024-12-18,outcome_win,0.9,Win: PnL $102.72,trade,rule
None,64.0,2024-12-18,outcome_win,0.9,Win: PnL $472.64,trade,rule
None,65.0,2024-12-18,outcome_win,0.9,Win: PnL $423.40,trade,rule
None,66.0,2024-12-19,outcome_win,0.9,Win: PnL $131.22,trade,rule
None,67.0,2024-12-19,outcome_win,0.9,Win: PnL $1073.24,trade,rule
None,68.0,2024-12-19,outcome_win,0.9,Win: PnL $244.29,trade,rule
None,69.0,2024-12-19,outcome_win,0.9,Win: PnL $17.54,trade,rule
None,70.0,2024-12-19,outcome_win,0.9,Win: PnL $106.24,trade,rule
None,71.0,2024-12-19,outcome_win,0.9,Win: PnL $1061.15,trade,rule
None,73.0,2024-12-24,outcome_win,0.9,Win: PnL $7.25,trade,rule
None,74.0,2024-12-31,outcome_win,0.9,Win: PnL $45.36,trade,rule
None,77.0,2025-01-01,outcome_win,0.9,Win: PnL $2060.16,trade,rule
None,78.0,2025-01-01,outcome_win,0.9,Win: PnL $221.68,trade,rule
None,82.0,2025-01-06,outcome_win,0.9,Win: PnL $240.96,trade,rule
